0|4210351682594|0|567|661.40|375117.12
1|4308856748175|1|601|275.27|165442.89
2|4407361813756|2|843|338.43|285618.31
3|4505866879337|3|423|923.01|390460.66
4|4604371944918|4|424|862.29|366151.53
5|4702877010499|5|99|28.64|2850.46
6|4801382076080|6|561|544.24|305651.01
7|4899887141661|7|972|717.62|698228.44
8|4998392207242|8|100|252.17|25407.78
9|96897272823|9|712|618.97|440931.92
10|195402338404|10|4|921.31|4277.48
11|293907403985|11|666|347.65|231790.68
12|392412469566|12|625|649.86|406562.44
13|490917535147|13|390|601.99|235281.48
14|589422600728|14|410|441.31|181267.49
15|687927666309|15|282|17.84|5041.28
16|786432731890|16|626|899.59|563428.22
17|884937797471|17|947|173.99|164909.55
18|983442863052|18|724|120.60|87360.19
19|1081947928633|19|799|494.25|395238.07
20|1180452994214|20|970|204.08|198085.33
21|1278958059795|21|532|726.45|386942.86
22|1377463125376|22|340|878.88|299668.71
23|1475968190957|23|2|759.89|1720.07
24|1574473256538|24|370|924.65|342427.39
25|1672978322119|25|578|959.32|555284.82
26|1771483387700|26|450|661.20|297914.86
27|1869988453281|27|686|709.62|487344.38
28|1968493518862|28|473|742.12|351497.35
29|2066998584443|29|298|789.12|235883.96
30|2165503650024|30|878|569.85|500379.61
31|2264008715605|31|126|440.86|55592.49
32|2362513781186|32|983|206.61|203290.32
33|2461018846767|33|140|339.37|47680.29
34|2559523912348|34|306|45.63|13994.75
35|2658028977929|35|783|128.64|100795.05
36|2756534043510|36|316|329.38|104265.17
37|2855039109091|37|622|948.64|590127.84
38|2953544174672|38|614|454.79|279426.22
39|3052049240253|39|457|152.18|69570.49
40|3150554305834|40|459|833.03|382453.90
41|3249059371415|41|946|92.85|87852.03
42|3347564436996|42|235|174.12|41003.69
43|3446069502577|43|673|361.74|243579.83
44|3544574568158|44|533|14.85|7925.89
45|3643079633739|45|291|138.76|40382.90
46|3741584699320|46|631|564.73|356588.88
47|3840089764901|47|133|25.67|3436.53
48|3938594830482|48|649|772.37|501442.61
49|4037099896063|49|341|940.79|321437.80
50|4135604961644|50|835|824.49|689022.56
51|4234110027225|51|194|744.49|144999.10
52|4332615092806|52|519|121.54|63094.57
53|4431120158387|53|174|28.88|5036.12
54|4529625223968|54|394|495.09|195385.87
55|4628130289549|55|727|444.69|323546.96
56|4726635355130|56|867|667.19|579114.63
57|4825140420711|57|588|179.19|105430.54
58|4923645486292|58|71|401.32|28768.18
59|22150551873|59|758|926.27|702627.90
60|120655617454|60|500|580.49|290663.24
61|219160683035|61|173|143.26|24840.90
62|317665748616|62|349|231.33|80763.90
63|416170814197|63|179|93.82|16852.46
64|514675879778|64|767|961.10|738010.56
65|613180945359|65|447|858.58|384421.23
66|711686010940|66|401|299.19|120262.30
67|810191076521|67|823|70.12|57713.60
68|908696142102|68|557|948.65|528982.04
69|1007201207683|69|781|227.22|177495.41
